Input File,Species,BIC,Kernel,Mean
simulations36,Species 2,797.4558202257551,RationalQuadratic,Zero
simulations36,Species 3,1130.5852600410058,RationalQuadratic,Zero
simulations92,Species 1,19.347940347857417,RationalQuadratic,Zero
simulations92,Species 2,-18.495241063583073,Exponential,Zero
simulations92,Species 3,356.7661903470412,Exponential,Zero
simulations88,Species 1,692.1259883212585,Linear,Zero
simulations88,Species 2,293.2939334278476,RationalQuadratic,Zero
simulations88,Species 3,474.5115652158395,RationalQuadratic,Zero
simulations68,Species 1,131.20513004802618,Matern32,Zero
simulations68,Species 2,400.7436868583752,RationalQuadratic,Zero
simulations68,Species 3,882.6555992445833,RationalQuadratic,Zero
simulations18,Species 1,221.84102492757356,RationalQuadratic,Zero
simulations18,Species 2,323.30957785899795,RationalQuadratic,Zero
simulations18,Species 3,312.60460988764635,Matern12,Zero
simulations40,Species 1,227.66593290661896,RationalQuadratic,Zero
simulations40,Species 2,336.62439628517114,Matern12,Zero
simulations40,Species 3,166.33916291929185,RationalQuadratic,Zero
simulations61,Species 1,221.10233474866246,RationalQuadratic,Zero
simulations61,Species 2,559.1641526610338,Matern12,Zero
simulations61,Species 3,346.67676432401754,RationalQuadratic,Zero
simulations19,Species 1,250.08209374830452,RationalQuadratic,Zero
simulations19,Species 2,1151.291464308631,Linear,Zero
simulations19,Species 3,580.0354874905854,RationalQuadratic,Zero
simulations8,Species 1,181.41312045992206,RationalQuadratic,Zero
simulations8,Species 2,588.280186855525,Exponential,Zero
simulations8,Species 3,1149.5041251288894,Linear,Zero
simulations34,Species 1,620.5767378552888,RationalQuadratic,Zero
simulations34,Species 2,581.4173104472341,RationalQuadratic,Zero
simulations34,Species 3,213.4732840943923,RationalQuadratic,Zero
simulations38,Species 1,222.83005176144192,RationalQuadratic,Zero
simulations38,Species 2,197.92636736781375,Exponential,Zero
simulations38,Species 3,598.9284710248539,Exponential,Zero
simulations82,Species 1,495.99657560394303,Exponential,Zero
simulations82,Species 2,283.9122820885732,Exponential,Zero
simulations82,Species 3,58.33449605902794,RationalQuadratic,Zero
simulations30,Species 1,150.78887140900244,RationalQuadratic,Zero
simulations30,Species 2,181.86654506478388,RationalQuadratic,Zero
simulations30,Species 3,312.65410668276013,RationalQuadratic,Zero
simulations14,Species 1,397.1705700486133,RationalQuadratic,Zero
simulations14,Species 2,621.1739590287247,RationalQuadratic,Zero
simulations14,Species 3,310.3881185369911,RationalQuadratic,Zero
simulations94,Species 1,1138.49935584216,Cosine,Zero
simulations94,Species 2,1152.042331372114,Linear,Zero
simulations94,Species 3,202.2510606438013,RationalQuadratic,Zero
simulations27,Species 1,316.8393027800629,RationalQuadratic,Zero
simulations27,Species 2,207.45392750325826,Matern12,Zero
simulations27,Species 3,278.72251155195613,RationalQuadratic,Zero
simulations17,Species 1,92.22464057101038,RationalQuadratic,Zero
simulations17,Species 2,324.77606575704476,RationalQuadratic,Zero
simulations17,Species 3,681.4556737629455,Exponential,Zero
simulations28,Species 1,132.5916836619589,Exponential,Zero
simulations28,Species 2,230.4381828912095,Matern12,Zero
simulations28,Species 3,1152.1578669223486,Linear,Zero
simulations44,Species 1,171.56387727988837,RationalQuadratic,Zero
simulations44,Species 2,258.2602733864867,RationalQuadratic,Zero
simulations44,Species 3,321.923010310839,RationalQuadratic,Zero
