Input File,Species,BIC,Kernel,Mean
simulations45,Species 1,697.3265733103342,RationalQuadratic,Zero
simulations45,Species 2,719.3303766458392,RationalQuadratic,Zero
simulations45,Species 3,450.2996368384075,RationalQuadratic,Zero
simulations53,Species 1,952.3875986089535,RationalQuadratic,Zero
simulations53,Species 2,328.7876159990124,RationalQuadratic,Zero
simulations53,Species 3,998.9854085980146,RationalQuadratic,Zero
simulations90,Species 1,163.81456079052677,RationalQuadratic,Zero
simulations90,Species 2,247.68945112494728,RationalQuadratic,Zero
simulations90,Species 3,847.4670935849043,RationalQuadratic,Zero
simulations91,Species 1,576.005675748342,RationalQuadratic,Zero
simulations91,Species 2,384.2025724819475,RationalQuadratic,Zero
simulations91,Species 3,661.2698926141542,RationalQuadratic,Zero
simulations93,Species 1,829.3108158922412,RationalQuadratic,Zero
simulations93,Species 2,1030.0663501678516,RationalQuadratic,Zero
simulations93,Species 3,463.08864552039194,RationalQuadratic,Zero
simulations4,Species 1,332.59524234583176,RationalQuadratic,Zero
simulations4,Species 2,134.99393579810405,RationalQuadratic,Zero
simulations4,Species 3,428.19391696006124,RationalQuadratic,Zero
simulations67,Species 1,153.07889194255515,RationalQuadratic,Zero
simulations67,Species 2,680.9157929129016,RationalQuadratic,Zero
simulations67,Species 3,480.6374787217205,RationalQuadratic,Zero
simulations26,Species 1,446.9881101729795,RationalQuadratic,Zero
simulations26,Species 2,700.8529199160545,RationalQuadratic,Zero
simulations26,Species 3,143.67652136077496,RationalQuadratic,Zero
simulations13,Species 1,630.8025340100448,RationalQuadratic,Zero
simulations13,Species 2,609.702994448895,RationalQuadratic,Zero
simulations13,Species 3,1009.0255328144066,RationalQuadratic,Zero
simulations50,Species 1,847.271304366565,RationalQuadratic,Zero
simulations50,Species 2,347.1098987365439,RationalQuadratic,Zero
simulations50,Species 3,612.6415963787955,RationalQuadratic,Zero
simulations77,Species 1,451.7875768071373,RationalQuadratic,Zero
simulations77,Species 2,568.8447058676813,RationalQuadratic,Zero
simulations77,Species 3,222.5590612280067,RationalQuadratic,Zero
simulations70,Species 1,295.30307798689347,RationalQuadratic,Zero
simulations70,Species 2,417.0755010205715,RationalQuadratic,Zero
simulations70,Species 3,332.7807982206407,RationalQuadratic,Zero
simulations3,Species 1,510.7763463514482,RationalQuadratic,Zero
simulations3,Species 2,337.78583762819864,RationalQuadratic,Zero
simulations3,Species 3,326.1820979082806,RationalQuadratic,Zero
simulations66,Species 1,365.6353034188116,RationalQuadratic,Zero
simulations66,Species 2,582.5666195967054,RationalQuadratic,Zero
simulations66,Species 3,503.73869462800593,Matern32,Zero
simulations85,Species 1,429.5530151727768,Matern32,Zero
simulations85,Species 2,691.097417230678,RationalQuadratic,Zero
simulations85,Species 3,395.55463802290393,RationalQuadratic,Zero
simulations55,Species 1,240.84000727182988,RationalQuadratic,Zero
simulations55,Species 2,615.5919255904437,RationalQuadratic,Zero
simulations55,Species 3,619.4852305995228,RationalQuadratic,Zero
simulations36,Species 1,976.9417084114767,RationalQuadratic,Zero
simulations36,Species 2,878.9546877987802,RationalQuadratic,Zero
simulations36,Species 3,1057.8198577396365,RationalQuadratic,Zero
simulations92,Species 1,27.024783237532386,RationalQuadratic,Zero
simulations92,Species 2,-6.865315252296131,RationalQuadratic,Zero
simulations92,Species 3,388.1469365781813,RationalQuadratic,Zero
simulations88,Species 1,960.5013550002727,RationalQuadratic,Zero
simulations88,Species 2,356.3552033892186,RationalQuadratic,Zero
simulations88,Species 3,483.8786445756455,RationalQuadratic,Zero
simulations68,Species 1,161.97735415577492,RationalQuadratic,Zero
simulations68,Species 2,409.3719895997711,RationalQuadratic,Zero
simulations68,Species 3,728.9403985843568,RationalQuadratic,Zero
simulations18,Species 1,242.30821935058677,RationalQuadratic,Zero
simulations18,Species 2,346.7869112674557,RationalQuadratic,Zero
simulations18,Species 3,391.049357888701,RationalQuadratic,Zero
simulations40,Species 1,253.99692955862216,RationalQuadratic,Zero
simulations40,Species 2,229.60139020478405,RationalQuadratic,Zero
simulations40,Species 3,175.4045320284803,RationalQuadratic,Zero
simulations61,Species 1,249.45575753046424,RationalQuadratic,Zero
